Text;Size
siento;4
desierta;4
libertador;4
desean;4
visera;4
arminio;4
traigo;4
fraile;4
prender;4
perseguida;4
siguen;4
dificultad;4
sinrazones;4
tela;4
mojicones;4
galera;4
aconsejaba;4
debiera;4
des;4
sacerdote;4
comunicar;4
juntarse;4
sobra;4
conozca;4
desposorio;4
tiernos;4
desnudarse;4
soltalle;4
palma;4
portugal;4
ansimismo;4
cumpliese;4
cupo;4
quinto;4
embajada;4
extranjeros;4
igualar;4
puntas;4
intencionado;4
embozo;4
arrepentido;4
oscuras;4
acomodar;4
impedimento;4
haremos;4
adherentes;4
salamanca;4
promesa;4
hallamos;4
cuervo;4
cortesana;4
acertada;4
juzgar;4
